"","Q1","Q1","Q1","Q1","Q1","Q1","Q1","Q1","Q1","Q1","Q1","Q1"
"catE",0.748594925283322,1.47170890840652,2.58501818181818,1.07437783375315,1.38483116883117,1.34568399798082,3.04662857142857,1.65474860335196,0.487349177330896,0.891571906354515,1.06988628762542,0.816477794793262
"CbbS",0.942375185688628,0.873314092337126,1.12489912176596,0.876613767748979,0,1.22973733496942,0.994330473703842,0.756086176466298,0.318113040033222,0.581965996314958,0.872948994472436,0.599567571241788
"cbdA",1.11398054357637,2.090495608532,1.1219696969697,1.39892947103275,0,1.40175416456335,2.64464285714286,1.72369646182495,1.26913848263254,0,1.39308110367893,0
"cbh",1.0319534726717,0.794487642197433,0.255841071042971,0.398744742337125,0.616759724835734,0.639279809017016,1.80916185951815,0.393051924786688,0.868199247026536,1.32359249755718,1.05887399804574,0.424238759171083
"CDH",0.453144627895473,1.98419922165749,1.82557781201849,1.70716816803996,1.466982170372,1.14041016778035,2.15157384987893,1.40232932487454,3.09755833049298,1.88892353041211,2.64449294257695,2.162282295533
"cdtA",0.67971694184321,0.850371094996066,0.456394453004623,0.56905605601332,0,0,0,0.701164662437269,1.03251944349766,1.88892353041211,0,0.432456459106601
"cga",0.668388326145823,0.900521185213783,0.828531468531469,1.03305560937803,0,0.776356152681241,1.95296703296703,1.27288354103997,0.937209956405569,0.857280679187034,0.857280679187034,0.785074802685829
"chnA",0.879458323876083,0.440104338638315,1.41722488038278,0,0,0.885318419724222,0,3.26595119082623,0,0,1.75968139412075,1.34289110985734
"chnB",1.15111322836225,1.48657465495609,0.747979797979798,0.932619647355164,1.44253246753247,1.12140333165068,1.41047619047619,1.60878336436996,2.03062157221207,1.23829431438127,1.48595317725752,0.992247320061256
"chqB",1.22007392867888,1.46002867897473,1.28225108225108,2.13170205109752,2.06076066790353,2.1360063460013,2.01496598639456,0.328323135585705,0,0,0.707596751075012,1.41749617151608
"ChrA",0.990461457397437,1.10915414670299,1.00454074422986,0.904592735672988,0.896911378776664,1.25504207065568,1.97320503330866,1.02885923524474,1.45194703090811,1.03939730015423,1.22417904240387,1.34845749787747
"clpC",0.899414370275382,0.794278014851207,0.710482130007196,1.41738500495138,0.685107768221225,0.621358046561064,0.334941575574821,1.30982739051606,0.803676083988944,1.17621623529619,1.11740542353138,0.8751823328094
"cmuA",1.46209946344399,1.567871706399,0.841477272727273,1.04919710327456,0,0,7.93392857142857,0,3.80741544789762,0,0.696540551839465,0
"CODH",1.3530128059632,1.28645883601969,0.872138387927862,1.22335532689503,1.40165098059835,2.0430425070559,0.513938692886061,1.17239273516839,1.23317099527049,1.80480142986744,1.71456135837407,0.826394529142978
"CopA",1.18835370033183,1.03159434963843,1.28969521044993,1.21822595445522,1.44462612858839,1.14744462817668,1.47393738337135,1.26087520574714,1.10520042028959,1.21313303658543,1.19695792943095,1.37017772166866
"CorC",0.438287426980867,0.548326716991999,0,0.550398480406326,1.41888439429423,1.10301967047608,0,0.678175657111457,0.998666346989541,0,1.09619496682932,0.418277558808024
"CprA",0.684824104657605,0.548326716991999,0.662146050670641,0.275199240203163,1.41888439429423,0.68938729404755,1.04051522248244,0.678175657111457,0.49933317349477,0.913495805691102,1.46159328910576,0.522846948510029
"cspA",1.57267841446076,0.491881319654587,1.58395721925134,1.9749592532227,0,0,0,0,1.79172491665771,0,0,0
"cspB",2.0887135192057,0,1.68295454545455,0,0,0,0,2.58554469273743,0,0,1.39308110367893,0
"ctsR",0.480854910896275,0.36094888204869,0.387442773054284,0.724625337513365,0,0,0.913257965056526,0.892849965837386,0.876527297357726,0.801773297081398,0.481063978248839,0.183560655304241
"CueO",0.477420232961302,1.19456891916114,0.961688311688312,2.39816480748471,0,1.20150356962573,0,1.47745411013567,2.17566597022721,3.98023172479694,1.59209268991878,0.911247538831766
"CusA",1.17950881084557,0.491881319654587,2.37593582887701,1.9749592532227,0,1.97894705585414,0,0,0,0,1.3111351564037,0
"cydA",0.820827768951011,1.0269101234894,0.472408293460925,1.17804587034336,0.759227614490772,0.590212279816148,0,0.725766931294717,1.06874819590109,1.95520154902306,0.586560464706918,0.223815184976223
"cydB",0.701106635817297,1.05255722947065,0.753210425937699,0.704356097303201,1.81577513395695,1.17629720103218,1.77542457542458,0.867875141618158,0.426004525638895,0,0.779346071988212,0.356852183039013
"Cytochrome b",0,0,0,0,0,0,0,0,0,0,0.891571906354515,0
"Cytochrome c",1.08626958478094,0.859772654918631,0.759143675561586,0.668145419000714,1.00474898236092,1.28319784218735,1.05259417199716,0.891862845919379,1.11128543752899,0.739280187690311,0.924100234612889,0.803953052501657
"czcA",1.05117451886435,1.66247128512337,0.958834637172916,1.69365941893579,1.28415353192801,1.24785237201485,1.31839762611276,1.10480247998276,1.35575624257482,1.48815785556206,1.19052628444965,0.870687559358542
"czcC",1.29964396750577,0.464554579673777,2.24393939393939,0.932619647355164,7.21266233766234,0.934502776375568,0,0,0,3.09573578595318,1.85744147157191,0
"czcD",0.973972059957483,0.761564884711109,1.37333995694651,0.856175413965396,0.315307643176496,0.735346446984053,1.15612802498048,1.20564561264259,0.554814637216411,0.405998135862712,0.811996271725424,0.975980970552055
