"AcanQuad_1","ArioFeli_2","ChaeFabe_1","ChilShoe_1","ChilShoe_2","GimnMicr_1","GimnMicr_2","HaemBona","OpsaBeta_1","OrthChry_2","PrioPunc_1","SphoSpen_1","SphoTest_1","SphoTest_2","SphoTest_3","SynoFoet_2","SynoFoet_3","UrobJama_1","Sdmt_A","Sdmt_B","Sdmt_C","Wtr_A","Wtr_B","Wtr_C"
0,0,0,0,0,0,0,0,0,0,0,0,0,2114.8526,0,0,0,0,2846.4889,0,0,0,0,0
11112.1725,23763.1304,12464.5962,5747.4262,3300.8357,6786.8156,11153.5056,8515.7937,12476.4507,18437.5409,14061.1378,23217.2877,10049.1355,14426.9369,9755.1047,13289.63,10112.0411,7005.6371,10942.5249,12653.8581,20062.897,7094.3854,16297.63,14351.9076
13402.2379,7282.5095,0,11233.0013,3415.5361,0,7095.459,0,0,0,0,0,4401.4189,2061.318,9452.6749,0,3773.9662,7404.9479,3374.9087,4007.827,0,2100.4455,5815.7703,21779.4299
3580.6038,2328.9239,2661.0707,3157.7552,0,0,3758.1668,3552.1093,0,0,0,3648.6291,0,3371.7463,3700.6895,2125.5007,0,0,0,0,0,2027.5597,0,0
0,0,4009.3516,0,0,0,0,0,2486.6275,0,0,0,0,0,0,0,2297.1834,0,0,0,0,0,0,0
10672.787,9828.9537,19063.679,9632.8836,6822.5385,17880.9508,13266.5995,24071.4133,25920.8851,25787.2699,8140.7649,9308.6376,6291.4227,10834.2627,6114.5858,33519.5956,13983.5152,14216.0868,7446.4371,4873.2206,5709.2908,6131.1856,16396.1832,13338.8002
10910.113,6382.4022,9512.8446,9490.7609,10946.8188,10032.5467,14395.6516,14027.7491,2456.1301,9507.2528,13996.9238,9388.7354,12575.8957,4997.0092,11763.8291,6145.5181,9835.8371,10963.1178,2356.2173,5230.3194,7493.9309,0,5162.2501,5908.9043
2575.4046,4558.1521,0,0,0,0,0,0,0,4014.4964,0,0,0,2285.2114,0,0,0,0,0,0,0,0,0,0
4719.6667,7338.7805,0,0,0,0,0,0,0,4280.8285,0,0,0,5478.1447,0,0,0,0,6309.704,14482.7268,10423.6011,4354.9576,5410.8032,8617.0662
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7961.2668,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,10713.1984,0,0,0,0,3212.0044,2442.4057,2671.0562,0,0,0
0,8250.9295,0,0,0,9272.7943,0,0,6714.4873,4946.9402,7388.0696,6713.3242,8760.2014,5905.7455,8736.0302,0,0,0,6014.8496,11482.9174,6798.17,7934.0457,5178.3313,7978.6817
49583.0984,0,0,43704.5641,46804.9158,16417.813,32003.3348,22046.508,43954.7104,0,38030.6887,0,0,4813.4099,55962.5605,14312.0695,60304.5494,33283.914,0,26033.702,34956.6403,0,14100.4656,22777.9082
3474.8045,3025.2696,11349.5304,4119.6819,2507.691,3344.6871,4293.4632,2345.2314,2283.0057,7962.2605,0,4980.9378,7611.7063,3212.1438,2426.3015,30276.5605,7867.8404,0,0,5820.4625,23251.7777,4550.3723,3192.3305,2765.7414
8647.6872,5525.3836,9562.3493,8448.7736,8665.936,7992.3502,10279.9359,8758.9514,6610.0324,7221.8084,9147.2332,6807.2268,10107.3706,5790.7943,9062.5051,5502.3871,9890.38,10258.1742,2518.4222,3930.7272,5118.8126,3471.8016,4478.5916,4409.188
0,3426.6939,0,0,0,0,4700.6867,0,0,0,0,0,0,2929.6042,0,2003.0714,0,6662.6825,0,4733.2817,4287.2126,2548.6237,2583.018,7262.954
5262.3871,2794.0148,9477.5395,5352.3627,4043.4085,3699.2332,4844.9071,5395.1841,6390.1858,5177.5521,0,4037.2383,4475.202,2693.7188,3441.6428,0,10505.9319,0,0,2809.563,2750.1792,3933.9169,3477.1195,2358.712
5905.5249,2910.8788,18597.3263,6903.0215,3640.742,7592.9063,4975.5396,6653.7932,8813.6275,7826.7489,0,4572.6167,20361.5465,6590.5884,8008.5803,3651.3362,12003.5096,0,11678.252,20362.5995,26510.4072,13641.7273,15751.6844,9403.6408
0,0,0,0,0,0,0,0,0,2979.3215,2129.7273,0,0,0,0,0,0,0,0,0,0,0,0,0
13068.7153,7085.1109,11082.081,11524.5144,11522.121,11213.7578,14330.2405,16895.4907,11122.8525,10804.4725,14120.275,11569.8702,13097.8559,5676.0512,12109.2246,8424.7089,11489.9201,11692.1454,2380.0574,5844.9488,7877.1412,2076.5924,6317.962,6845.0932
0,0,0,0,0,3445.9332,0,0,0,0,0,0,2933.6959,2567.9982,0,0,0,0,8832.8622,19215.4775,12163.0505,9485.1741,6526.6182,0
